stock,taxa,variable,year,mean,sd,lower,upper,status
Natantia,Natantia,b_div_bmsy,2018,0.728090450053633,0.167920633083372,0.555919242815273,0.950047295413815,overfished
Parapenaeus.longirostris,Parapenaeus longirostris,b_div_bmsy,2018,0.67618094937662,0.167908986909164,0.515158169559662,0.879871804341571,overfished
Aristeidae,Aristeidae,b_div_bmsy,2014,0.90796269719759,0.164789059347619,0.697443903905663,1.18148556124994,fully fished
Penaeus.kerathurus,Penaeus kerathurus,b_div_bmsy,2018,0.691964666930775,0.173585556866567,0.520339792889728,0.906228605983144,overfished
Plesionika.edwardsii,Plesionika edwardsii,b_div_bmsy,2018,0.708820319437819,0.176451874012848,0.535566408284706,0.930755942610849,overfished
Aristeus.antennatus,Aristeus antennatus,b_div_bmsy,2018,0.717759101088659,0.175729565495319,0.544615525004257,0.954885562455784,overfished
Metapenaeus.monoceros,Metapenaeus monoceros,b_div_bmsy,2018,0.665882970558003,0.171995104806493,0.502703100533481,0.869453453250516,overfished
