Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Natantia,1951,1.39787743405024,0.126422387398522,1.39787743405024,0.126422387398522
Natantia,1952,1.36613440819745,0.129359894196888,1.36613440819745,0.129359894196888
Natantia,1953,1.24658895374785,0.152670275993215,1.24658895374785,0.152670275993215
Natantia,1954,1.24898312958071,0.19047202791549,1.24898312958071,0.19047202791549
Natantia,1955,1.1809699816755,0.207196958329226,1.1809699816755,0.207196958329226
Natantia,1956,1.37056217665246,0.1834943579527,1.37056217665246,0.1834943579527
Natantia,1957,1.81764753762536,0.23184714410308,1.81764753762536,0.23184714410308
Natantia,1958,2.02393151375262,0.204858390320662,2.02393151375262,0.204858390320662
Natantia,1959,2.06763434678364,0.190666322102084,2.06763434678364,0.190666322102084
Natantia,1960,2.16735772253272,0.203846140240104,2.16735772253272,0.203846140240104
Natantia,1961,2.12369009973689,0.278450398484712,2.12369009973689,0.278450398484712
Natantia,1962,2.70551900588026,0.206007483417906,2.70551900588026,0.206007483417906
Natantia,1963,2.77555133474337,0.20325842769926,2.77555133474337,0.20325842769926
Natantia,1964,2.60040818103149,0.209106819687588,2.60040818103149,0.209106819687588
Natantia,1965,1.89336720342206,0.215395255992453,1.89336720342206,0.215395255992453
Natantia,1966,1.442656739177,0.207304820628644,1.442656739177,0.207304820628644
Natantia,1967,1.29451049099322,0.262533158483654,1.29451049099322,0.262533158483654
Natantia,1968,0.940065239724965,0.24583326901149,0.940065239724965,0.24583326901149
Natantia,1969,0.696537259540969,0.224441527984785,0.696537259540969,0.224441527984785
Natantia,1970,0.478389554118141,0.139524197514658,0.478389554118141,0.139524197514658
Natantia,1971,0.489248715177947,0.13323203055469,0.489248715177947,0.13323203055469
Natantia,1972,0.785279610071453,0.2306708021481,0.785279610071453,0.2306708021481
Natantia,1973,0.924747471071888,0.193529618437114,0.924747471071888,0.193529618437114
Natantia,1974,0.791280078745319,0.199973513647406,0.791280078745319,0.199973513647406
Natantia,1975,0.655977823890013,0.187339346925656,0.655977823890013,0.187339346925656
Natantia,1976,0.643259512214239,0.228660302099187,0.643259512214239,0.228660302099187
Natantia,1977,0.635811239033899,0.186225729285666,0.635811239033899,0.186225729285666
Natantia,1978,0.69785060573967,0.211746779370124,0.69785060573967,0.211746779370124
Natantia,1979,0.808790323331536,0.235142698127538,0.808790323331536,0.235142698127538
Natantia,1980,0.870607161207985,0.254047571081732,0.870607161207985,0.254047571081732
Natantia,1981,0.867692395119249,0.247929187307481,0.867692395119249,0.247929187307481
Natantia,1982,0.92252074123671,0.222805230062074,0.92252074123671,0.222805230062074
Natantia,1983,1.25847418485104,0.367377073179452,1.25847418485104,0.367377073179452
Natantia,1984,1.46655365658141,0.365399873024194,1.46655365658141,0.365399873024194
Natantia,1985,1.5470720972977,0.417776519653764,1.5470720972977,0.417776519653764
Natantia,1986,1.35280437299333,0.343568889827632,1.35280437299333,0.343568889827632
Natantia,1987,1.40733382132004,0.419413517545453,1.40733382132004,0.419413517545453
Natantia,1988,1.48557501075465,0.467464398919199,1.48557501075465,0.467464398919199
Natantia,1989,1.73082316957048,0.522808891809709,1.73082316957048,0.522808891809709
Natantia,1990,1.52426450084997,0.505319391051828,1.52426450084997,0.505319391051828
Natantia,1991,1.23205574410662,0.422809631433157,1.23205574410662,0.422809631433157
Natantia,1992,1.27620305958219,0.462561811236657,1.27620305958219,0.462561811236657
Natantia,1993,1.37090778737001,0.523719530574126,1.37090778737001,0.523719530574126
Natantia,1994,1.39848374771211,0.487147008868845,1.39848374771211,0.487147008868845
Natantia,1995,1.30858713923678,0.461191337934325,1.30858713923678,0.461191337934325
Natantia,1996,1.23436456168288,0.438042725835298,1.23436456168288,0.438042725835298
Natantia,1997,1.48109060685207,0.465713218121708,1.48109060685207,0.465713218121708
Natantia,1998,1.51123255232703,0.487908192300537,1.51123255232703,0.487908192300537
Natantia,1999,1.49081519104363,0.480547735425226,1.49081519104363,0.480547735425226
Natantia,2000,1.44111301916431,0.417459196296025,1.44111301916431,0.417459196296025
Natantia,2001,1.42535010062763,0.41539971724169,1.42535010062763,0.41539971724169
Natantia,2002,1.63141275423467,0.471797614851846,1.63141275423467,0.471797614851846
Natantia,2003,1.61101492579783,0.460641709681593,1.61101492579783,0.460641709681593
Natantia,2004,1.62909979501122,0.452315415120094,1.62909979501122,0.452315415120094
Natantia,2005,1.60396781262394,0.50377067257416,1.60396781262394,0.50377067257416
Natantia,2006,1.37135998658355,0.457675990672678,1.37135998658355,0.457675990672678
Natantia,2007,1.2430866618411,0.425400429455725,1.2430866618411,0.425400429455725
Natantia,2008,1.70255364570472,0.581832121363616,1.70255364570472,0.581832121363616
Natantia,2009,1.82343341941865,0.556344966561539,1.82343341941865,0.556344966561539
Natantia,2010,1.71843735929901,0.581714809264509,1.71843735929901,0.581714809264509
Natantia,2011,1.73466538770974,0.607110259770655,1.73466538770974,0.607110259770655
Natantia,2012,1.52257528996339,0.522888511014674,1.52257528996339,0.522888511014674
Natantia,2013,1.36351011955684,0.496003166241442,1.36351011955684,0.496003166241442
Natantia,2014,1.37133466873779,0.561721655054496,1.37133466873779,0.561721655054496
Natantia,2015,1.2642194119951,0.593024712176887,1.2642194119951,0.593024712176887
Natantia,2016,1.08267643456167,0.69980823804133,1.08267643456167,0.69980823804133
Natantia,2017,0.902578484056915,0.958807421700341,0.902578484056915,0.958807421700341
Natantia,2018,0.728090450053633,0.786136690724773,0.728090450053633,0.786136690724773
