"","variable","year","mean","sd","lower","upper"
"135","ck",2016,0.0678221144511969,0.0288138005823521,0.0302082317324481,0.120214548888784
"136","ck",2017,0.0482119569691142,0.0204825479865068,0.0214737918477285,0.0854555878268588
"137","ck",2018,0.029829260909159,0.0126727746887622,0.0132860680213669,0.0528722994394507
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.626846432761165,0.0670492384754446,0.529192507312301,0.736521635455957
"141","dep_t",1952,0.190788848247221,0.0570272101868989,0.113626653129905,0.292022830358537
"142","dep_t",1953,0.116023259544048,0.0381434913519505,0.0656319515757215,0.182602588319093
"143","dep_t",1954,0.106527985783822,0.0334055137815376,0.0625815114799329,0.162100717026305
"144","dep_t",1955,0.149284912027836,0.0453889314806773,0.0870502993037719,0.22698549200579
"145","dep_t",1956,0.195086623045705,0.0610423664466627,0.111750496925467,0.303165186500333
"146","dep_t",1957,0.199315798458512,0.0626282242901598,0.113503722093761,0.305803722274277
"147","dep_t",1958,0.210670421842788,0.0651090139436619,0.122223940774142,0.326419621856755
"148","dep_t",1959,0.226157164210793,0.0720842554219052,0.130242359357723,0.348712493673737
"149","dep_t",1960,0.250380978015704,0.0781164826896985,0.144798862925944,0.388253247680793
"150","dep_t",1961,0.251412825865609,0.0807544350274157,0.146150675237683,0.39447108888376
"151","dep_t",1962,0.37615703688451,0.119919532234127,0.214746657076748,0.589722794627539
"152","dep_t",1963,0.403529581225296,0.135060572562745,0.229465338113346,0.648301267577878
"153","dep_t",1964,0.415640916974733,0.13753898371785,0.234751355361204,0.657764524813448
"154","dep_t",1965,0.42552663505595,0.140112274101864,0.241055290584273,0.675718671291016
"155","dep_t",1966,0.337983443457267,0.114709397240615,0.193396909863843,0.526212265266199
"156","dep_t",1967,0.309666392333327,0.101441944927313,0.175656137916629,0.494341286859081
"157","dep_t",1968,0.312946799338957,0.104215919682821,0.177570545913248,0.49753659794201
"158","dep_t",1969,0.299735339600122,0.100981914329927,0.168246733159131,0.477740588804812
"159","dep_t",1970,0.342842929856756,0.112730314027834,0.197043888591283,0.53427722490367
"160","dep_t",1971,0.384246873578621,0.130341287582545,0.220894947025814,0.604851821460909
"161","dep_t",1972,0.503164035882705,0.166235632632087,0.284985516519692,0.797548825634427
"162","dep_t",1973,0.587724299101665,0.200774879566154,0.33856219542001,0.927263194847167
