"","variable","year","mean","sd","lower","upper"
"112","ck",1993,0.0831112033319552,0.0262340843615608,0.0425920676536129,0.126939383454721
"113","ck",1994,0.0788624056609095,0.0248929496881496,0.0404146827693044,0.120450008555019
"114","ck",1995,0.0698612491133608,0.0220517310467006,0.0358018525699545,0.106702147656392
"115","ck",1996,0.0625910842095715,0.0197569006055303,0.0320761051012488,0.0955981061613467
"116","ck",1997,0.0798459236403182,0.025203397529217,0.0409187070480795,0.121952178670691
"117","ck",1998,0.0853536243250071,0.0269419054391945,0.0437412430092202,0.130364331318452
"118","ck",1999,0.082930236023744,0.0261769619588044,0.0424993271863183,0.126662984153437
"119","ck",2000,0.0696409410859732,0.0219821907303015,0.0356889511315089,0.106365661550481
"120","ck",2001,0.0685394009490354,0.021634489148306,0.0351244439392807,0.104683231020929
"121","ck",2002,0.0890988607905955,0.0281240908179792,0.0456605674627959,0.13608459511893
"122","ck",2003,0.085904394393476,0.0271157562301923,0.0440234966053343,0.131205546583229
"123","ck",2004,0.0852985473181602,0.0269245203600948,0.0437130176496088,0.130280209791975
"124","ck",2005,0.0935364939136877,0.0295248314768754,0.0479347250086292,0.142862386680841
"125","ck",2006,0.0726544401748816,0.0229334029153321,0.0372332815216758,0.110968310784899
"126","ck",2007,0.0612141590383992,0.0193222736280359,0.0313704711109636,0.0934950679994063
"127","ck",2008,0.114670328255222,0.036195734685732,0.0587651987109491,0.175141018126394
"128","ck",2009,0.117432046741402,0.0370674722234493,0.0601804988857496,0.1793591118112
"129","ck",2010,0.115716791385313,0.0365260511886278,0.0593014805435658,0.176739327129469
"130","ck",2011,0.121909020583671,0.0384806307959882,0.062474817402734,0.186196990177738
"131","ck",2012,0.0921595687425155,0.029090204499381,0.047229091018344,0.140759348518901
"132","ck",2013,0.0782880311609348,0.0247116481489662,0.0401203325904997,0.119572741207467
"133","ck",2014,0.0891696740851129,0.0281464430625361,0.0456968572108677,0.136192751367259
"134","ck",2015,0.0867856265030262,0.0273939174957887,0.0444751023591168,0.13255149100687
"135","ck",2016,0.0877061993317527,0.0276844966750278,0.0449468690840503,0.133957522235139
"136","ck",2017,0.100177207310655,0.0316209752997626,0.0513378969389188,0.153005039301856
"137","ck",2018,0.0662576392368072,0.0209142501570296,0.0339551076125224,0.101198196352571
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.702020416147301,0.0659241333349441,0.60079768953681,0.808577358006843
"141","dep_t",1952,0.693686426944751,0.122509220824873,0.516833053331094,0.904895982723873
"142","dep_t",1953,0.634550405716323,0.120636673618929,0.454101460239985,0.840873305475919
"143","dep_t",1954,0.636072163049656,0.122361766054506,0.458778689942991,0.839958106335756
"144","dep_t",1955,0.601308815180118,0.115383458082093,0.439200188783585,0.801132748704668
"145","dep_t",1956,0.697303866988439,0.131821348814669,0.506289814748432,0.917018170219235
"146","dep_t",1957,0.925249566360945,0.177377449519056,0.676463891496015,1.22344071317481
"147","dep_t",1958,1.03132090371721,0.202137219767745,0.740375760270866,1.36755872461255
"148","dep_t",1959,1.05034784329384,0.187849861383414,0.773367659955165,1.37540121179412
"149","dep_t",1960,1.10129614314118,0.19923990276065,0.812912301641418,1.43284532036799
"150","dep_t",1961,1.07709331956278,0.183563345740017,0.816228602827464,1.37987820539637
"151","dep_t",1962,1.37205280995073,0.230167529859783,1.02577323162191,1.7572899513827
"152","dep_t",1963,1.40785119967442,0.239219486805185,1.06340488298778,1.82515585477449
"153","dep_t",1964,1.32270820357046,0.245963139934561,0.964099277154327,1.74995987030835
"154","dep_t",1965,0.964164135523383,0.186539727060498,0.698594690843909,1.28699064241833
"155","dep_t",1966,0.733379867476142,0.135959054068326,0.545555983174087,0.962958373907086
"156","dep_t",1967,0.658836564826192,0.12617854167842,0.482516511789423,0.871473103809549
"157","dep_t",1968,0.479714580515731,0.0984928947025911,0.338531950162731,0.648711733611479
"158","dep_t",1969,0.355217946167393,0.071659658738613,0.254429304551494,0.479723851553366
"159","dep_t",1970,0.243768356835576,0.0479806291749135,0.176429962508352,0.326477648433718
"160","dep_t",1971,0.249229955620045,0.0486772534648443,0.179665618593437,0.335247664492226
"161","dep_t",1972,0.399956171177147,0.0773722590011315,0.288891275641784,0.5317869256242
"162","dep_t",1973,0.471890860514255,0.0956653349099785,0.332905500306189,0.641980996754497
"163","dep_t",1974,0.403883135990592,0.0834599847576002,0.288387099587858,0.549095931427387
"164","dep_t",1975,0.334049085114694,0.0642050356167681,0.238867212812594,0.440675725648384
"165","dep_t",1976,0.327871879747245,0.0653343994724183,0.235758838346137,0.436360717603388
"166","dep_t",1977,0.323785194846743,0.0624777235805884,0.235833459255183,0.430379146580727
"167","dep_t",1978,0.3561972956752,0.073208844524157,0.251788019509396,0.479594751730713
"168","dep_t",1979,0.412397472213897,0.0826494553444945,0.294317222256356,0.554181283009776
"169","dep_t",1980,0.443050803326987,0.0836380419346122,0.321739759537194,0.594280844701801
"170","dep_t",1981,0.441556175103707,0.0838187839460659,0.320750717796948,0.588399503651866
"171","dep_t",1982,0.469674270388616,0.0897541381181808,0.337902401911459,0.622727433553193
"172","dep_t",1983,0.640098459987403,0.119257159478435,0.465546010470518,0.836493089568791
"173","dep_t",1984,0.747481378540714,0.147861974805134,0.532665979614959,1.00422768635684
"174","dep_t",1985,0.788565459821265,0.156739911046566,0.570997310719032,1.05388072606973
"175","dep_t",1986,0.688969516250937,0.133161563333239,0.49413799270357,0.916211860523663
"176","dep_t",1987,0.715834846732383,0.133783758096985,0.525379316056996,0.942556354079727
"177","dep_t",1988,0.755233360612032,0.138801668703696,0.554700434016189,0.993649034845878
"178","dep_t",1989,0.881701845204063,0.1724044682124,0.63647186344158,1.17762407439203
"179","dep_t",1990,0.77586569156798,0.149335330983776,0.569370427386847,1.03346154724988
"180","dep_t",1991,0.626715605882301,0.118009657354055,0.46019992933936,0.829559526778947
"181","dep_t",1992,0.648698316959001,0.119449786730809,0.476019654117495,0.860676345797419
"182","dep_t",1993,0.697766380166195,0.133684761545397,0.509409980868225,0.923160556359312
"183","dep_t",1994,0.711830206239468,0.1363066075319,0.522476351780378,0.9468378256692
"184","dep_t",1995,0.666525069504425,0.12963715148788,0.482280521742746,0.886975468455918
"185","dep_t",1996,0.628317832739606,0.119605922798763,0.456418358216778,0.826845732969721
"186","dep_t",1997,0.755651070101286,0.153799146556384,0.539110381374769,1.01283312718933
"187","dep_t",1998,0.768247840421542,0.14082505208951,0.567913192108878,1.01442540963409
"188","dep_t",1999,0.758839695105092,0.144943229922435,0.548929904541981,0.998556566802597
"189","dep_t",2000,0.733572563384394,0.14030159180939,0.53308275294716,0.973800017334668
"190","dep_t",2001,0.724429908428009,0.13193713198227,0.52963664620065,0.942594903372766
"191","dep_t",2002,0.830395936395957,0.158225631773482,0.603277398952232,1.09696356320639
"192","dep_t",2003,0.820255063154991,0.157523464059204,0.592648858968055,1.09659071869998
"193","dep_t",2004,0.829000706896997,0.156211806573234,0.604346869261716,1.10321971338621
"194","dep_t",2005,0.81700398566307,0.160645290506742,0.593746864417804,1.0959556274012
"195","dep_t",2006,0.698146507669463,0.133719026625658,0.503213301834646,0.92597829591074
