"","variable","year","mean","sd","lower","upper"
"65","b_t",2015,64649.2823789149,12521.7404454358,47443.679453327,86219.1353603245
"66","b_t",2016,58427.4073572435,12459.9841041463,42190.0375799569,80413.9677262066
"67","b_t",2017,50735.6361333452,11085.7840206391,36418.5280687291,70665.9180988944
"68","b_t",2018,38887.3608381525,10161.8747508575,25674.6591789836,56449.8500444079
"69","bmsy",1951,56408.3611496359,9264.56366618647,43902.5186714445,72949.095065848
"70","ck",1951,0.0781451711651543,0.0119946391552837,0.0589452147200821,0.0979442675250168
"71","ck",1952,0.0626978698883215,0.00962360583389044,0.0472932536707635,0.0785831913863507
"72","ck",1953,0.0636065346693116,0.00976307838220769,0.0479786631442529,0.079722078218037
"73","ck",1954,0.0581545459833706,0.00892624309230418,0.0438662063033169,0.0728887572279195
"74","ck",1955,0.0617892051073313,0.00948413328557319,0.0466078441972742,0.0774443045546645
"75","ck",1956,0.065423864231292,0.0100420234788422,0.0493494820912315,0.0819998518814095
"76","ck",1957,0.0790538359461445,0.012134111703601,0.0596306241935714,0.0990831543567031
"77","ck",1958,0.0808711655081248,0.0124130568002355,0.06100144314055,0.101360928020076
"78","ck",1959,0.0772365063841641,0.0118551666069665,0.0582598052465927,0.0968053806933306
"79","ck",1960,0.0740561796506986,0.0113670126878561,0.0558608720893801,0.0928192767824287
"80","ck",1961,0.0854144894130756,0.0131104195418218,0.0644284905079967,0.107055362178507
"81","ck",1962,0.0581545459833706,0.00892624309230418,0.0438662063033169,0.0728887572279195
"82","ck",1963,0.0563372164213903,0.00864729799566967,0.0424953873563382,0.070610983564547
"83","ck",1964,0.0726931824792133,0.0111578038653802,0.0548327578791461,0.0911109465348994
"84","ck",1965,0.0717845176982231,0.011018331317063,0.0541473484056568,0.0899720597032131
"85","ck",1966,0.0636065346693116,0.00976307838220769,0.0479786631442529,0.079722078218037
"86","ck",1967,0.0645151994503018,0.00990255093052494,0.0486640726177422,0.0808609650497232
